DriverName,LapNumber,Lap,S1,S2,S3,Tyres
joe,1,1:49.386,37.159,37.238,34.988,Hard
joe,2,2:10.125,38.031,45.377,46.716,Hard
joe,3,2:19.845,46.195,44.745,48.904,Hard
joe,4,1:26.728,29.112,28.637,28.978,Hard
joe,5,1:25.849,28.586,28.377,28.885,Hard
joe,6,1:25.616,28.340,28.370,28.905,Hard
joe,7,1:25.550,28.310,28.324,28.916,Hard
joe,8,1:26.190,28.517,28.545,29.127,Hard
joe,9,1:26.566,28.601,28.722,29.242,Hard
joe,10,1:26.298,28.667,28.642,28.988,Hard
joe,11,1:26.308,28.683,28.560,29.064,Hard
joe,12,1:26.240,28.570,28.601,29.068,Hard
joe,13,1:26.172,28.551,28.628,28.992,Hard
joe,14,1:26.217,28.593,28.576,29.047,Hard
joe,15,1:44.634,28.567,28.525,47.541,Medium
joe,16,1:51.840,40.013,35.779,36.047,Medium
joe,17,2:08.560,36.123,44.419,48.017,Medium
joe,18,2:17.946,45.803,45.197,46.944,Medium
joe,19,1:24.355,27.998,28.205,28.151,Medium
joe,20,1:24.175,27.798,27.827,28.548,Medium
joe,21,1:24.151,27.831,27.811,28.508,Medium
joe,22,1:23.922,27.552,28.012,28.357,Medium
joe,23,1:24.782,27.846,28.247,28.689,Medium
joe,24,1:25.072,28.094,28.233,28.744,Medium
joe,25,1:24.965,28.183,28.212,28.569,Medium
joe,26,1:24.845,28.078,28.362,28.404,Medium
joe,27,1:24.746,27.895,28.166,28.684,Medium
joe,28,1:25.182,28.169,28.258,28.755,Medium
joe,29,1:24.953,28.236,28.231,28.485,Medium
Mattymoomoo03,1,1:49.959,38.514,36.867,34.577,Hard
Mattymoomoo03,2,2:10.414,38.522,45.327,46.565,Hard
Mattymoomoo03,3,2:19.432,47.231,44.097,48.103,Hard
Mattymoomoo03,4,1:26.715,29.024,28.802,28.888,Hard
Mattymoomoo03,5,1:25.746,28.551,28.421,28.773,Hard
Mattymoomoo03,6,1:25.807,28.500,28.418,28.888,Hard
Mattymoomoo03,7,1:25.415,28.345,28.374,28.695,Hard
Mattymoomoo03,8,1:26.135,28.560,28.634,28.940,Hard
Mattymoomoo03,9,1:26.494,28.744,28.721,29.028,Hard
Mattymoomoo03,10,1:26.602,28.950,28.790,28.861,Hard
Mattymoomoo03,11,1:26.146,28.511,28.705,28.929,Hard
Mattymoomoo03,12,1:26.369,28.854,28.667,28.847,Hard
Mattymoomoo03,13,1:26.309,28.557,28.763,28.989,Hard
Mattymoomoo03,14,1:26.053,28.497,28.648,28.908,Hard
Mattymoomoo03,15,1:26.136,28.497,28.695,28.943,Hard
Mattymoomoo03,16,2:02.853,35.538,34.868,52.446,Medium
